G1.S;S;G2;G2.M;M.G1
Pcdh7;Nsun3;Sap30;Oit3;Nudt4
Insr;Rmi1;Mad2l1;Cenpe;Agfg1
Mboat1;Sp1;Nipbl;Gas2l3;Larp7
Adcy6;Lyrm7;Casp3;Diaph3;Gm12666
Hras;Mitf;Melk;Tle3;Zbtb7a
Ccne2;Fanca;Ska3;Ss18;Gata2
Rmi2;Dcun1d3;Btnl9;Rere;Dexi
Baiap2;Srsf10;Cyb5r2;Kif2c;Tob2
Gins3;Ptar1;Nnmt;Nuf2;Prr16
Plcxd1;Blm;Rccd1;Anp32e;1700102P08Rik
Hoxb4;Prim1;Tuba1a;Lbr;Msl1
Rnpc3;Man1a2;Fadd;Lpp;Afap1
Spin4;Svip;Ltbp3;Ccna2;Slc39a10
Kank2;Chml;Mgat2;Srd5a1;Pdgfa
Trex1;Dhfr;Ckap2l;Csgalnact1;Hsd17b11
Fancg;NA;Cdk1;Gm9745;Ctr9
Pdxp;NA;Sgcd;Idi2;Top1
Taf15;NA;Kif5b;Mki67;Prc1
Uhrf1;NA;Kbtbd2;Tmem138;H2-Oa
NA;NA;Asxl1;Itpr1;Mrps18b
NA;NA;Suclg2;Me3;Lnp1
NA;NA;Stat5b;Hs2st1;Ppp2r2a
NA;NA;Znhit2;Ankrd40;C4b
NA;NA;Ube2c;Hspa13;Cd24a
NA;NA;1700066M21Rik;Usp16;Dcp1a
NA;NA;Aurkb;Mapk13;Taf9
NA;NA;Ciita;Ccnb2;Ak6
NA;NA;Cdc42ep4;Psmg3;Mllt6
NA;NA;Gas1;Rcan1;NA
NA;NA;Kpna2;Tff3;NA
NA;NA;Gm10184;Rrp1;NA
NA;NA;Traip;Lmna;NA
NA;NA;Chek2;Prpsap1;NA
NA;NA;Iqgap3;Tmco4;NA
NA;NA;Ppp1r2;Vcam1;NA
NA;NA;Cdca2;Klhdc9;NA
NA;NA;Muc1;Frzb;NA
NA;NA;Sv2b;Nup35;NA
NA;NA;Trim69;Poc1a;NA
NA;NA;Katna1;Pcf11;NA
NA;NA;Entpd5;Plk1;NA
NA;NA;Tubb4b;Pbk;NA
NA;NA;Fam72a;Ptpn9;NA
NA;NA;Tubb5;Bub1;NA
NA;NA;Nmb;Cntrob;NA
NA;NA;Cfd;Arl6ip1;NA
NA;NA;Fan1;Kif5b;NA
NA;NA;H2-Ea;Shcbp1;NA
NA;NA;Trim59;Asxl1;NA
NA;NA;Arhgap19;Pik3cd;NA
NA;NA;1700001L19Rik;Atf7ip;NA
NA;NA;Kifc5b;Hcfc1;NA
NA;NA;Kifc1;Cks1b;NA
NA;NA;Lix1l;Vangl1;NA
NA;NA;Arhgap11a;Olr1;NA
NA;NA;NA;Insm1;NA
NA;NA;NA;Stat5b;NA
NA;NA;NA;Ckap5;NA
NA;NA;NA;Tgif1;NA
NA;NA;NA;Kctd2;NA
NA;NA;NA;Plag1;NA
NA;NA;NA;Tsku;NA
NA;NA;NA;Cnot10;NA
NA;NA;NA;Cadm1;NA
NA;NA;NA;Gas6;NA
NA;NA;NA;Smtn;NA
NA;NA;NA;Tnfaip8l1;NA
NA;NA;NA;Prr5;NA
NA;NA;NA;Tubb4b;NA
NA;NA;NA;Pom121;NA
NA;NA;NA;Zmym1;NA
NA;NA;NA;Grk6;NA
NA;NA;NA;Adh4;NA
NA;NA;NA;Qrich1;NA
NA;NA;NA;Txnrd1;NA
NA;NA;NA;Ctnnd1;NA
