status;family;pval;qval;gene_short_name;num_cells_expressed
OK;negbinomial;7.87901540921791e-58;2.09879829503889e-57;Igfbpl1;7445
OK;negbinomial;1.44996543770975e-234;1.63595576872488e-233;Cdk5r1;2291
OK;negbinomial;1.2680669774605e-207;1.24780106686182e-206;Mest;5807
OK;negbinomial;3.80850280658305e-31;7.21840241705054e-31;Ebf1;1181
OK;negbinomial;0;0;Mpped2;5608
OK;negbinomial;0;0;Foxj1;1903
OK;negbinomial;1.34646953505926e-41;2.95784082370306e-41;Ube2s;7387
OK;negbinomial;0;0;Rpsa;7508
OK;negbinomial;1.04951400180385e-30;1.97356254265907e-30;Rgs16;2821
OK;negbinomial;0;0;Gapdh;7490
OK;negbinomial;9.64638316544426e-167;7.11916291833301e-166;mt-Atp6;7508
OK;negbinomial;5.71848731099298e-31;1.08099475045525e-30;Cks2;5143
OK;negbinomial;3.40124309259391e-77;1.1381488920093e-76;Klf7;2444
OK;negbinomial;5.6926589568017e-183;4.81085492231673e-182;Lhx1os;596
OK;negbinomial;1.93726570245568e-103;8.73390708952299e-103;Crmp1;4025
OK;negbinomial;0;0;Trp73;1297
OK;negbinomial;0;0;Rspo2;3054
OK;negbinomial;8.44125560745614e-20;1.29935041671914e-19;Nrn1;2969
OK;negbinomial;3.05282929475399e-44;6.93239950494716e-44;Ebf2;2674
OK;negbinomial;0.0181687760461798;0.0190714624352252;Hist1h1b;2933
OK;negbinomial;0;0;Rprm;2664
OK;negbinomial;3.5612061774594e-15;4.97368717590732e-15;Cenpa;4112
OK;negbinomial;0;0;Nr2f2;3432
OK;negbinomial;0;0;Sulf1;1525
OK;negbinomial;3.87461704117922e-30;7.21676726338913e-30;Ccnb1;3480
OK;negbinomial;2.65803429550495e-64;7.65783944761119e-64;Neurod2;2262
OK;negbinomial;2.38915922017583e-68;7.26183091604925e-68;Tubb4b;6791
OK;negbinomial;4.23596069224815e-87;1.59033019020815e-86;Insm1;1752
OK;negbinomial;2.68452934824998e-130;1.5304658056822e-129;Basp1;7489
OK;negbinomial;6.36291277902947e-119;3.26478024733536e-118;Robo3;1007
OK;negbinomial;1.24655618327322e-51;3.09128719787548e-51;Sorbs2;2978
OK;negbinomial;9.81369778185624e-68;2.96197741175073e-67;Mllt11;3949
OK;negbinomial;0;0;H3f3b;7507
OK;negbinomial;4.81335554932323e-95;1.94977090390819e-94;Dll1;3702
OK;negbinomial;4.07753826332917e-98;1.71622948388171e-97;Lgals7;1428
OK;negbinomial;1.50893806848146e-140;9.37107071347998e-140;Ccnd2;6355
OK;negbinomial;7.48187460616691e-156;5.10235435958534e-155;Hspa8;7507
OK;negbinomial;0;0;Pkm;7489
OK;negbinomial;1.38366355612751e-271;2.05641031962399e-270;Mcidas;953
OK;negbinomial;3.57814953531166e-46;8.26464335326542e-46;Fam110a;4707
OK;negbinomial;8.55527812743156e-25;1.44828156831226e-24;Neurod1;2191
OK;negbinomial;2.16791315356684e-203;2.09500127620473e-202;Kif5c;4813
OK;negbinomial;3.02160036100247e-09;3.69974362384109e-09;Neurog1;883
OK;negbinomial;1.57207002832818e-08;1.89263179388114e-08;Sncg;113
OK;negbinomial;9.34354092549845e-107;4.40598045830398e-106;Tnnt1;940
OK;negbinomial;0;0;Npm1;7504
OK;negbinomial;2.03481007164415e-15;2.85297052985891e-15;Cotl1;5467
OK;negbinomial;1.98269815992096e-50;4.81704006158927e-50;H1fx;7244
OK;negbinomial;1.85145824773821e-67;5.54922465073136e-67;Barhl2;387
OK;negbinomial;3.06088311327813e-106;1.42159549765396e-105;Tagln3;5437
OK;negbinomial;4.76280477140792e-26;8.22423420062826e-26;Dll3;1736
OK;negbinomial;0;0;Ppia;7508
OK;negbinomial;1.33158648916004e-22;2.15594957486093e-22;Prc1;2949
OK;negbinomial;1.06187897124965e-265;1.52556612202866e-264;mt-Cytb;7508
OK;negbinomial;5.88983425242831e-127;3.27973974521525e-126;Sstr2;1012
OK;negbinomial;6.08056262835824e-121;3.18048846216311e-120;Nr2f1;5103
OK;negbinomial;2.1198436486052e-13;2.85159991432223e-13;Cntn2;1515
OK;negbinomial;0;0;Rplp1;7507
OK;negbinomial;1.65862956015494e-105;7.62120832011494e-105;mt-Co1;7508
OK;negbinomial;1.02467926461647e-97;4.26290311824035e-97;Ppp1r14a;1978
OK;negbinomial;9.3243720698809e-192;8.40754050652441e-191;Reln;1169
OK;negbinomial;3.39632883405199e-36;6.95070146000193e-36;Gm42418;7497
OK;negbinomial;4.94065645841247e-324;9.88131291682493e-323;Fabp5;7481
OK;negbinomial;5.13895147511198e-238;6.05160679173023e-237;Rnd2;4715
OK;negbinomial;0.000380318959951839;0.000413724057898138;Dcx;2310
OK;negbinomial;8.51010716789593e-18;1.26043168019352e-17;Cdca8;4529
OK;negbinomial;0;0;Mdk;7405
OK;negbinomial;8.72753711075198e-21;1.36784308899422e-20;Rcan2;1588
OK;negbinomial;1.28544559544961e-38;2.70257098360382e-38;Tmem163;1985
OK;negbinomial;5.52541203798513e-61;1.53246627308339e-60;Igfbp2;7430
OK;negbinomial;5.77810483878884e-36;1.17803367337653e-35;Nhlh1;2163
OK;negbinomial;0;0;Wnt8b;6075
OK;negbinomial;0.000596122327982243;0.000645159141522665;Ank3;2543
OK;negbinomial;2.2443394468871e-136;1.3287229417697e-135;Gadd45a;2541
OK;negbinomial;4.77103855357078e-67;1.4201088512355e-66;Cacna2d1;2350
OK;negbinomial;3.03159669237752e-246;3.77635310524482e-245;Pcsk1n;4552
OK;negbinomial;1.06161731695412e-80;3.67811144378797e-80;Nav1;2843
OK;negbinomial;4.96170409673871e-60;1.35691273203959e-59;Samd3;338
OK;negbinomial;0;0;Ptn;2181
OK;negbinomial;5.8625512844105e-25;9.97142700702813e-25;Mapt;1014
